title,release_date,platforms,genres
Silent Hill 3,2003-05-23,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox One",psychological horror fiction
Silent Hill 4: The Room,2004-06-17,"Microsoft Windows, PlayStation 3, PlayStation 4","psychological horror fiction, survival horror"
Silent Hill: Book of Memories,2012-10-16,PlayStation Vita,action game
Silent Hill: Downpour,2012-03-13,"PlayStation 3, Xbox One",psychological horror fiction
Silent Hill: Homecoming,2008-09-30,"Microsoft Windows, PlayStation 3, Xbox One",psychological horror fiction
Silent Hill: Origins,2007-11-06,"PlayStation 4, PlayStation Portable",psychological horror fiction
Silent Hill: Play Novel,2001-01-01,Microsoft Windows,visual novel
Silent Hill: Shattered Memories,2009-12-08,"PlayStation 4, PlayStation Portable, Wii",psychological horror fiction
Silent Hill: The Arcade,2007-07-25,arcade video game,first-person shooter
Silent Service,1985-01-01,"Amstrad CPC, Apple IIGS, Atari ST, Commodore 64, DOS, Microsoft Windows, Nintendo Entertainment System, ZX Spectrum, macOS",submarine simulator
Silkroad Online,2004-12-31,Microsoft Windows,massively multiplayer online role-playing game
Silpheed,1986-12-05,"Apple IIGS, DOS, PlayStation",shoot 'em up
Silver,1999-08-31,"Classic Mac OS, Microsoft Windows, macOS",role-playing video game
SimCity,2013-03-05,"Microsoft Windows, macOS","city-building game, construction and management simulation, massively multiplayer online game, science fiction video game"
SimCity 2000,1993-01-01,"Acorn Archimedes, Amiga 1200, Classic Mac OS, DOS, Microsoft Windows, Nintendo 64, PlayStation 2, Super Nintendo Entertainment System, Windows Mobile, macOS",city-building game
SimCity 3000,1999-01-31,"Classic Mac OS, Microsoft Windows, iOS, macOS","city-building game, construction and management simulation"
SimCity 4,2003-01-14,"Microsoft Windows, macOS",city-building game
SimCity Creator,2008-09-19,Wii,city-building game
SimCity DS,2007-02-22,Nintendo DS,city-building game
SimCity Societies,2007-11-13,Microsoft Windows,city-building game
SimEarth,2009-05-12,"Classic Mac OS, DOS, Microsoft Windows, PlayStation, Super Nintendo Entertainment System, TurboGrafx-16, Wii","biological simulation video game, life simulation game"
SimFarm,1993-01-01,"Classic Mac OS, DOS, Microsoft Windows",construction and management simulation
SimIsle,1995-01-01,"Classic Mac OS, DOS, Microsoft Windows",construction and management simulation
SimSig,,Microsoft Windows,train simulator
SimTower,1994-11-01,"Classic Mac OS, Microsoft Windows",construction and management simulation
SimTown,1995-01-01,"Classic Mac OS, Microsoft Windows, Super Nintendo Entertainment System","city-building game, simulation video game"
Simon the Sorcerer,1993-09-27,"Acorn Archimedes, Amiga 1200, DOS, Microsoft Windows, iOS",point-and-click adventure
Simon the Sorcerer 4: Chaos Happens,2007-02-23,Microsoft Windows,adventure video game
"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",1995-01-01,"Classic Mac OS, DOS, Microsoft Windows, iOS","adventure video game, point-and-click adventure"
Simutrans,1999-03-06,"BeOS, Mac operating system, Microsoft Windows, macOS","city-building game, construction and management simulation"
SingStar,2007-12-06,PlayStation 3,music video game
SingStar '80s,,PlayStation 4,music video game
SingStar Pop,,PlayStation 4,music video game
SingStar:Pop Hits,,PlayStation 4,karaoke video game
Singularity,2010-06-25,"Microsoft Windows, PlayStation 3, Xbox One","first-person shooter, science fiction video game"
Sink or Swim,1993-01-01,"DOS, PlayStation, Super Nintendo Entertainment System",platformer
Siren,2003-11-06,PlayStation 4,psychological horror fiction
Skate,2007-09-14,"PlayStation 3, Xbox One",skateboarding video game
Skate 2,2009-01-21,"PlayStation 3, Xbox One",skateboarding video game
Skate 3,2010-05-11,"PlayStation 3, Xbox One",skateboarding video game
Skate or Die!,1987-01-01,"Amstrad CPC, Apple IIGS, Commodore 64, Nintendo Entertainment System, ZX Spectrum",skateboarding video game
Skool Daze,1984-01-01,"Commodore 64, ZX Spectrum",action-adventure game
Skullgirls,2012-04-10,"Microsoft Windows, PlayStation 3, Xbox One",2D fighting game
SkyRoads,1993-01-01,"DOS, Microsoft Windows, macOS","Christmas video game, racing video game"
Slash'EM,2006-01-01,Microsoft Windows,roguelike
Slender: The Eight Pages,2012-06-26,"Microsoft Windows, macOS",psychological horror video game
Sly 2: Band of Thieves,2004-09-14,"PlayStation 3, PlayStation 4, PlayStation Vita",platformer
Sly 3: Honor Among Thieves,2005-09-26,"PlayStation 3, PlayStation 4, PlayStation Vita",platformer
Sly Cooper and the Thievius Raccoonus,2002-09-23,"PlayStation 3, PlayStation 4, PlayStation Vita","platformer, stealth game"
Smash Court Tennis Pro Tournament,2002-02-07,PlayStation 4,tennis video game
Smash TV,1991-09-01,"Amstrad CPC, Atari ST, Commodore 64, Nintendo Entertainment System, PlayStation, Super Nintendo Entertainment System, ZX Spectrum, arcade video game",action game
Smokin' Guns,2009-01-01,Microsoft Windows,first-person shooter
Snake,1976-10-01,"Microsoft Windows, TRS-80 Model I",action game
Snake Rattle 'n' Roll,1990-07-01,"Nintendo Entertainment System, PlayStation","isometric platformer, platformer"
Snake's Revenge,1990-04-01,Nintendo Entertainment System,stealth game
Snatcher,1988-11-26,"MSX, NEC PC-8800 series, PlayStation 2, TurboGrafx-16","Christmas video game, adventure video game, cyberpunk video game, post-apocalyptic video game"
Sniper Elite V2,2012-04-30,"Microsoft Windows, PlayStation 3, Wii U, Xbox One",tactical shooter
Sniper: Ghost Warrior,2010-06-29,"Microsoft Windows, PlayStation 3, Xbox One",tactical shooter
Sniper: Path of Vengeance,2002-09-19,Microsoft Windows,first-person shooter
Snoopy,1984-01-01,"Atari ST, Commodore 64","action game, platformer"
Snow Bros.: Nick and Tom,1991-11-01,"Game Boy, Nintendo Entertainment System, PlayStation, arcade video game, iOS",platformer
So Blonde,2008-09-26,"Microsoft Windows, Nintendo DS, Wii",adventure video game
Soccer Kid,1993-12-31,"3DO, Amiga 1200, DOS, Microsoft Windows, PlayStation 2, Super Nintendo Entertainment System",platformer
Soccer Mania,2002-06-18,"Microsoft Windows, PlayStation 4",association football video game
Sokker,2004-01-01,web browser,"association football management game, massively multiplayer online game"
Sokoban,1982-01-01,"Apple II series, Commodore 64, Famicom Disk System, IBM Personal Computer, Microsoft Windows, NEC PC-8800 series, macOS","puzzle video game, sokoban video game"
Solar Jetman,1990-09-01,Nintendo Entertainment System,"science fiction video game, shoot 'em up"
SolarWolf,,Unknown,action game
Soldat,2002-05-09,"Microsoft Windows, personal computer",run and gun
Soldier of Fortune,2000-03-28,"Microsoft Windows, PlayStation 4","first-person shooter, science fiction video game"
Soldier of Fortune II: Double Helix,2002-05-20,"Microsoft Windows, macOS",first-person shooter
Solitaire,1989-01-01,Microsoft Windows,"card video game, solitaire"
Solomon's Key,1986-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, Famicom Disk System, Nintendo Entertainment System, ZX Spectrum","crossover fiction, puzzle video game"
Somari,1994-01-01,Nintendo Entertainment System,platformer
Sonic & Knuckles,1994-10-18,"Microsoft Windows, Nintendo GameCube, PlayStation, PlayStation 3, PlayStation 4, Wii, Xbox One, macOS",platformer
Sonic & Sega All-Stars Racing,2010-02-23,"Microsoft Windows, Nintendo DS, PlayStation 3, Wii, Xbox One, iOS, macOS","crossover fiction, mascot racer, racing video game"
Sonic 3D Blast,1996-11-01,"Microsoft Windows, PlayStation",isometric platformer
Sonic Advance,2001-12-20,N-Gage,platformer
Sonic Advance 3,2004-06-07,Wii U,platformer
Sonic Adventure,1998-12-23,"Microsoft Windows, Nintendo GameCube, PlayStation 3, Xbox One",platformer
Sonic Adventure 2,2001-06-19,"Microsoft Windows, Nintendo GameCube, PlayStation 3, Xbox One",platformer
Sonic Battle,2003-12-04,Unknown,"adventure video game, fighting game"
Sonic Chaos,1993-11-23,Unknown,platformer
Sonic Chronicles: The Dark Brotherhood,2008-09-25,Nintendo DS,role-playing video game
Sonic Colors,2010-11-11,"Wii, Wii U",platformer
Sonic Eraser,1991-01-01,"Philips CD-i, PlayStation",puzzle video game
Sonic Free Riders,2010-10-01,Xbox One,racing video game
Sonic Generations,2011-11-01,"Microsoft Windows, PlayStation 3, Xbox One, Xbox Series X and Series S",platformer
Sonic R,1997-10-31,Microsoft Windows,racing video game
Sonic Riders: Zero Gravity,2008-01-08,"PlayStation 4, Wii",racing video game
Sonic Rivals,2006-11-16,PlayStation Portable,racing video game
Sonic Unleashed,2008-11-18,"PlayStation 3, PlayStation 4, Wii, Xbox One",platformer
Sonic and the Secret Rings,2007-02-20,Wii,"action game, action-adventure game"
Sonic the Hedgehog,1991-10-25,"Amazon Fire TV, Apple TV, BlackBerry, Java Platform, Micro Edition, Microsoft Windows, Nintendo 3DS, Nintendo DS, Nintendo GameCube, PlayStation, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One, arcade video game, iOS, macOS, mobile phone","platformer, post-apocalyptic video game"
Sonic the Hedgehog 2,1992-10-16,"Microsoft Windows, Nintendo 3DS, Nintendo DS, Nintendo GameCube, PlayStation, PlayStation 4, Virtual Console, Windows Phone, Xbox One, arcade video game, iOS, macOS, mobile phone","adventure, platformer"
Sonic the Hedgehog 3,1994-02-02,"Microsoft Windows, Nintendo 3DS, PlayStation, Xbox One",platformer
Sonic the Hedgehog 4: Episode I,2010-10-07,"Microsoft Windows, PlayStation Portable, Wii, Windows Phone, Xbox One, iOS",platformer
Sonic the Hedgehog 4: Episode II,2012-05-15,"Microsoft Windows, PlayStation 3, PlayStation Portable, Windows Phone, Xbox One, iOS",platformer
Sonic the Hedgehog CD,1993-09-23,"Microsoft Windows, Nintendo GameCube, PlayStation, PlayStation 4, PlayStation Portable, Xbox One, iOS",platformer
Soul Blazer,1992-01-31,Super Nintendo Entertainment System,"action role-playing game, role-playing video game"
Soul Edge,1996-05-16,"PlayStation 2, arcade video game",3D fighting game
Soul Link,2004-12-17,"Microsoft Windows, PlayStation 4","eroge, visual novel"
Soul Nomad & the World Eaters,2007-02-15,"Microsoft Windows, PlayStation 4","role-playing video game, strategy video game, tactical role-playing game"
Soul Reaver 2,2001-10-31,"Microsoft Windows, PlayStation 4",action-adventure game
Soul Sacrifice,2013-03-07,PlayStation Vita,"action role-playing game, action-adventure game, dark fantasy video game, fantasy video game"
Soulcalibur II,2002-07-05,"Nintendo GameCube, PlayStation 3, PlayStation 4, Xbox One, arcade video game","3D fighting game, crossover fiction"
Soulcalibur III,2005-10-25,"PlayStation 4, arcade video game",3D fighting game
Soulcalibur IV,2008-07-29,"PlayStation 3, Xbox One","3D fighting game, crossover fiction"
Soulcalibur Legends,2007-11-20,Wii,action-adventure game
South Park Rally,1999-11-30,"Microsoft Windows, Nintendo 64, PlayStation 2","racing video game, video game with LGBT character"
South Park: Chef's Luv Shack,1999-10-12,"Microsoft Windows, Nintendo 64, PlayStation 2",party video game
Space Ace,1984-01-01,"Apple IIGS, Atari ST, Commodore 64, Microsoft Windows, Philips CD-i, PlayStation, Super Nintendo Entertainment System, iOS, macOS","interactive film, science fiction video game"
Space Channel 5,1999-12-16,PlayStation 4,music video game
Space Colony,2003-01-01,"Microsoft Windows, macOS","life simulation game, real-time strategy, science fiction video game"
Space Empires IV,2000-11-07,Microsoft Windows,"space opera video game, turn-based strategy video game"
Space Harrier,1985-10-02,"Amstrad CPC, Atari ST, Commodore 64, Nintendo 3DS, Nintendo Entertainment System, PlayStation 4, TurboGrafx-16, ZX Spectrum, arcade video game",shoot 'em up
Space Invaders,1978-01-01,"Atari 2600, Atari 5200, Commodore 64, DOS, Game Boy, Game Boy Color, MSX, Microsoft Windows, Nintendo 64, Nintendo Entertainment System, Pelican VG Pocket, PlayStation 2, PlayStation Portable, SG-1000, Super Nintendo Entertainment System, WonderSwan, ZX Spectrum, arcade video game, calculator, dedicated console, handheld electronic game, iOS, mobile game, watch",shoot 'em up
Space Invaders Extreme,2008-02-21,"Microsoft Windows, Nintendo DS, PlayStation Portable",shooter game
Space Manbow,1989-12-21,"MSX, Wii U",shoot 'em up
Space Megaforce,1992-01-01,Super Nintendo Entertainment System,shoot 'em up
Space Panic,1980-01-01,"ColecoVision, arcade video game","platformer, science fiction video game"
Space Quest IV,1991-03-04,"Classic Mac OS, DOS, Microsoft Windows",adventure video game
Space Quest V,1993-02-05,"DOS, Microsoft Windows",adventure video game
Space Race,1973-07-16,"Atari, arcade video game","racing video game, science fiction video game"
Space Squash,1995-01-01,Virtual Boy,"sports video game, squash video game"
Space Travel,1969-01-01,"General Comprehensive Operating System, Multics, PDP-7","science fiction video game, simulation video game"
SpaceEngine,2019-06-11,Microsoft Windows,simulation video game
Spartan: Total Warrior,2005-10-07,"Nintendo GameCube, PlayStation 4","action-adventure game, hack and slash, historical video game"
Spasim,1974-03-01,mainframe computer,"first-person shooter, science fiction video game"
Spec Ops: The Line,2012-06-26,"Microsoft Windows, PlayStation 3, Xbox One, macOS",third-person shooter
Special Force,2004-07-01,Microsoft Windows,first-person shooter
Special Operation 85: Hostage Rescue,2007-07-16,Microsoft Windows,first-person shooter
Spectromancer,2008-10-01,"Microsoft Windows, iOS","card video game, fantasy video game, turn-based strategy video game"
Speedball,1988-01-01,"Acorn Archimedes, Commodore 64, Game Boy, PlayStation 2, Xbox One","cyberpunk video game, sports video game"
Speedball 2: Brutal Deluxe,2007-10-17,"Atari ST, Commodore 64, PlayStation, Xbox One",sports video game
SpellForce: The Order of Dawn,2003-12-16,Microsoft Windows,role-playing video game
Spider-Man,2000-08-30,"Atari 2600, Game Boy Color, Mac operating system, Microsoft Windows, Nintendo 64, PlayStation 2","action-adventure game, beat 'em up"
Spider-Man and Venom: Maximum Carnage,1994-01-01,"PlayStation, Super Nintendo Entertainment System",beat 'em up
Spider-Man: Friend or Foe,2007-10-02,"Microsoft Windows, Nintendo DS, PlayStation 4, PlayStation Portable, Wii, Xbox One","action-adventure game, adventure video game, beat 'em up, platformer"
Spider-Man: Shattered Dimensions,2010-09-07,"Microsoft Windows, Nintendo DS, PlayStation 3, Wii, Xbox One","Metroidvania, crossover fiction, cyberpunk video game, neo-noir video game"
Spiral Knights,2011-04-04,"Java platform, Java virtual machine, Microsoft Windows, macOS",massively multiplayer online role-playing game
Spirit Camera: The Cursed Memoir,2012-01-12,Nintendo 3DS,psychological horror fiction
Spitting Image,1989-01-01,"Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",beat 'em up
Splatterhouse,2010-11-23,"FM Towns, Microsoft Windows, PlayStation 3, TurboGrafx-16, Xbox One, arcade video game, iOS","beat 'em up, hack and slash, post-apocalyptic video game, survival horror"
Split/Second,2010-05-18,"Java virtual machine, Microsoft Windows, PlayStation 3, PlayStation Portable, Xbox One, iOS",racing video game
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,2008-10-20,"Nintendo DS, PlayStation 4, Wii",crossover fiction
Spore,2008-09-01,"Microsoft Windows, macOS","4X, arcade, biological simulation video game, god game, life simulation game, real-time strategy, role-playing video game, space trading and combat game"
Spore Hero Arena,2009-10-08,Nintendo DS,life simulation game
Spore Origins,2008-08-25,iOS,"action game, biological simulation video game"
Sports Champions,2010-10-21,PlayStation 3,sports video game
Spy Hunter,2001-09-24,"Microsoft Windows, Nintendo GameCube, PlayStation 4, macOS",vehicular combat game
Spy vs. Spy,1984-01-01,"Acorn Electron, Amstrad CPC, Atari ST, Commodore 64, Game Boy, Game Boy Color, MSX, Nintendo Entertainment System, PlayStation 4, ZX Spectrum, iOS","action game, action-adventure game, party video game"
Spyro 2: Ripto's Rage!,1999-11-02,"PlayStation 2, PlayStation Portable",platformer
Spyro the Dragon,1998-09-10,"PlayStation 2, PlayStation 3",platformer
Spyro: A Hero's Tail,2004-11-03,"Nintendo GameCube, PlayStation 4",platformer
Spyro: Enter the Dragonfly,2002-11-03,"Nintendo GameCube, PlayStation 4",platformer
Spyro: Shadow Legacy,2005-10-18,Nintendo DS,platformer
Spyro: Year of the Dragon,2000-10-11,"PlayStation 2, PlayStation 3, PlayStation Portable",platformer
Star Citizen,,Microsoft Windows,"first-person shooter, massively multiplayer online game, science fiction video game, space flight simulation game, space trading and combat game"
Star Fox,1993-02-21,"Super NES Classic Edition, Super Nintendo Entertainment System",rail shooter
Star Fox 64,1997-04-27,"Nintendo 64, Wii, Wii U, iQue Player",shoot 'em up
Star Fox 64 3D,2011-07-14,Nintendo 3DS,shoot 'em up
Star Fox Command,2006-08-03,"Nintendo DS, Wii U",shoot 'em up
Star Heritage 1: The Black Cobra,,"Game Boy Color, Microsoft Windows, ZX Spectrum, personal computer",adventure video game
Star Ocean: The Second Story,1998-07-30,"PlayStation 2, PlayStation 3, PlayStation Portable","action role-playing game, space opera video game, video game with LGBT character"
Star Raiders,1979-01-01,"Atari 2600, Atari 5200, Atari 8-bit family, Atari ST","science fiction video game, space simulator"
Star Soldier,1986-06-13,"MSX, Nintendo Entertainment System, iOS","science fiction video game, shoot 'em up"
Star Soldier: Vanishing Earth,1998-07-10,Nintendo 64,shooter game
Star Trek Online,2010-02-02,Microsoft Windows,"massively multiplayer online role-playing game, space flight simulation game, third-person shooter"
Star Trek: 25th Anniversary,1991-01-01,Nintendo Entertainment System,"action-adventure game, science fiction video game"
Star Trek: Armada,2000-02-29,"Microsoft Windows, personal computer",real-time strategy
Star Trek: Bridge Commander,2002-02-22,"Microsoft Windows, personal computer","space combat simulation game, space flight simulation game"
Star Trek: Elite Force II,2003-06-20,"Classic Mac OS, Microsoft Windows, macOS, personal computer",first-person shooter
Star Trek: Klingon,1996-01-08,"Classic Mac OS, Microsoft Windows, personal computer",interactive film
Star Trek: Klingon Academy,2000-06-21,"Microsoft Windows, personal computer","space combat simulation game, space flight simulation game"
Star Wars,1983-05-01,"Acorn Electron, Amstrad CPC, Atari 2600, Atari 5200, Atari ST, BBC Micro, ColecoVision, Commodore 64, DOS, Game Boy, Nintendo Entertainment System, ZX Spectrum, arcade video game","platformer, shoot 'em up"
Star Wars Arcade,1993-01-01,Unknown,"action game, shoot 'em up"
Star Wars Battlefront: Elite Squadron,2009-11-03,"Nintendo DS, PlayStation Portable",third-person shooter
Star Wars Battlefront: Renegade Squadron,2007-10-09,PlayStation Portable,"first-person shooter, grand strategy wargame, third-person shooter"
Star Wars Episode I: Battle for Naboo,2000-12-18,"Microsoft Windows, Nintendo 64",action game
Star Wars Episode I: Jedi Power Battles,2000-03-31,PlayStation 2,action-adventure game
Star Wars Episode I: Obi-Wan's Adventures,2000-11-27,Game Boy Color,action-adventure game
Star Wars Episode I: Racer,1999-05-19,"Classic Mac OS, Game Boy Color, Microsoft Windows, Nintendo 64",racing video game
Star Wars Galaxies,2003-06-26,Microsoft Windows,"massively multiplayer online role-playing game, role-playing video game, science fiction video game"
Star Wars Jedi Knight II: Jedi Outcast,2002-03-26,"Classic Mac OS, Microsoft Windows, Nintendo GameCube, macOS","first-person shooter, third-person shooter"
Star Wars Jedi Knight: Dark Forces II,1997-10-10,Microsoft Windows,first-person shooter
Star Wars Jedi Knight: Jedi Academy,2003-09-17,"Classic Mac OS, Microsoft Windows, macOS",first-person shooter
Star Wars Knights of the Old Republic II: The Sith Lords,2004-12-06,"Microsoft Windows, iOS, macOS","role-playing video game, space opera video game"
Star Wars Rogue Squadron II: Rogue Leader,2001-11-09,Nintendo GameCube,action game
Star Wars Rogue Squadron III: Rebel Strike,2003-10-15,Nintendo GameCube,action game
Star Wars Trilogy Arcade,1999-01-01,arcade video game,shoot 'em up
Star Wars Trilogy: Apprentice of the Force,2004-09-21,Unknown,"action game, platformer"
Star Wars: Battlefront II,2005-10-31,"Microsoft Windows, PlayStation 4, PlayStation Portable","first-person shooter, third-person shooter"
Star Wars: Behind the Magic,1998-09-01,Microsoft Windows,behind-the-scenes film
Star Wars: Bounty Hunter,2002-11-22,"Nintendo GameCube, PlayStation 4",action game
Star Wars: Dark Forces,1995-02-28,"Classic Mac OS, DOS, Microsoft Windows, PlayStation 2, macOS",first-person shooter
Star Wars: Empire at War,2006-02-16,"Microsoft Windows, macOS",real-time strategy
Star Wars: Episode I – The Phantom Menace,1999-04-30,"Microsoft Windows, PlayStation 2","action-adventure game, space opera video game"
Star Wars: Episode II – Attack of the Clones,2002-05-30,Unknown,"action game, space opera video game"
Star Wars: Episode III – Revenge of the Sith,2005-05-05,"Nintendo DS, PlayStation 4","action-adventure game, space opera video game"
Star Wars: Flight of the Falcon,2003-11-21,Unknown,shooter game
Star Wars: Force Commander,2000-03-21,Microsoft Windows,real-time strategy
Star Wars: Galactic Battlegrounds,2001-11-13,"Classic Mac OS, Microsoft Windows, macOS",real-time strategy
Star Wars: Jedi Starfighter,2002-03-10,"PlayStation 3, PlayStation 4",action game
Star Wars: Knights of the Old Republic,2003-07-15,"Microsoft Windows, iOS, macOS","role-playing video game, space opera video game"
Star Wars: Masters of Teräs Käsi,1997-10-31,PlayStation 2,3D fighting game
Star Wars: Obi-Wan,2001-12-19,Unknown,action-adventure game
Star Wars: Racer Arcade,2000-01-01,arcade video game,racing video game
Star Wars: Rebel Assault II: The Hidden Empire,1995-11-01,"Classic Mac OS, DOS, IBM PC compatible, PlayStation 2",shoot 'em up
Star Wars: Republic Commando,2005-03-01,Microsoft Windows,first-person shooter
Star Wars: Republic Commando: Order 66,2005-08-30,mobile phone,strategy video game
Star Wars: Return of the Jedi,1984-09-01,"Amstrad CPC, Atari ST, BBC Micro, Commodore 64, DOS, ZX Spectrum, arcade video game","racing video game, shoot 'em up, shooter game"
Star Wars: Return of the Jedi - Death Star Battle,1983-12-31,"Atari 2600, Atari 5200, ZX Spectrum",shoot 'em up
Star Wars: Rogue Squadron,1998-12-03,"Microsoft Windows, Nintendo 64","action game, shooter game"
Star Wars: Shadows of the Empire,1996-12-03,"Microsoft Windows, Nintendo 64",action game
Star Wars: Starfighter,2001-02-19,"Microsoft Windows, PlayStation 4, arcade video game",action game
Star Wars: Super Bombad Racing,2001-04-23,PlayStation 4,racing video game
Star Wars: TIE Fighter,1994-07-01,"Classic Mac OS, DOS, Microsoft Windows",space combat simulation game
Star Wars: The Best of PC,2006-11-21,Microsoft Windows,Unknown
Star Wars: The Clone Wars – Jedi Alliance,2008-11-11,Nintendo DS,action-adventure game
Star Wars: The Clone Wars – Lightsaber Duels,2008-11-11,Wii,adventure video game
Star Wars: The Clone Wars – Republic Heroes,2009-10-06,"Microsoft Windows, Nintendo DS, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One",action-adventure game
Star Wars: The Empire Strikes Back,1985-01-01,"Amstrad CPC, Atari 2600, Atari ST, Commodore 64, Game Boy, Intellivision, Nintendo Entertainment System, ZX Spectrum, arcade video game","action game, action-adventure game, shoot 'em up"
Star Wars: The Force Unleashed,2008-09-16,"Java Platform, Micro Edition, Microsoft Windows, N-Gage, Nintendo DS, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One, iOS, macOS","action-adventure game, hack and slash"
Star Wars: The Force Unleashed II,2010-10-26,"Microsoft Windows, Nintendo DS, PlayStation 3, Wii, Xbox One",action-adventure game
Star Wars: The New Droid Army,2002-11-29,Unknown,action game
Star Wars: The Old Republic,2011-12-20,"Microsoft Windows, macOS","massively multiplayer online role-playing game, space opera video game, video game with LGBT character"
Star Wars: X-Wing Alliance,1999-02-28,"IBM PC compatible, Microsoft Windows",space combat simulation game
Star Wars: X-Wing vs. TIE Fighter,1997-04-17,"IBM PC compatible, Mac, Microsoft Windows",space combat simulation game
Star Wars: Yoda Stories,1997-03-01,Microsoft Windows,adventure video game
Starcross,1982-09-01,"Atari 8-bit family, Atari ST, Commodore 64, DOS, TRS-80 Model I, Texas Instruments TI-99/4A","interactive fiction, science fiction video game"
Stardoll,2004-01-01,web browser,Unknown
Stardust,1993-01-01,"Atari ST, DOS",shoot 'em up
Starflight,1986-08-15,"Classic Mac OS, Commodore 64, DOS, PlayStation","role-playing video game, science fiction video game, space opera video game, space trading and combat game, strategy video game"
Stargate,1981-10-21,"Atari 2600, Commodore 64, DOS, Nintendo Entertainment System, arcade video game",shoot 'em up
Starhawk,2012-05-08,PlayStation 3,"science fiction video game, third-person shooter"
Starhorse3,2011-01-01,arcade video game,Unknown
Starlancer,2000-03-31,Microsoft Windows,"space opera video game, space simulator"
Starry Sky,2013-01-01,Microsoft Windows,romance adventure game
Stars!,1995-01-01,Microsoft Windows,"4X, space opera video game"
Starship Titanic,1998-01-01,"Classic Mac OS, Microsoft Windows, macOS",adventure video game
Starship Troopers,2005-10-27,Microsoft Windows,first-person shooter
Starsiege: Tribes,1998-11-30,Microsoft Windows,first-person shooter
State of Emergency,2002-02-12,"Microsoft Windows, PlayStation 4",beat 'em up
Steel Battalion: Heavy Armor,2012-06-19,Xbox One,"action game, tank simulation game"
Steel Storm,2010-09-09,"Microsoft Windows, macOS","first-person shooter, shoot 'em up"
Steins;Gate,2009-10-15,"Microsoft Windows, PlayStation 3, PlayStation Portable, PlayStation Vita, Xbox One, iOS","science fiction video game, time travel video game, visual novel"
StepMania,2001-08-21,"Microsoft Windows, macOS","music video game, rhythm game"
Still Life,2005-06-03,"Classic Mac OS, Microsoft Windows",adventure video game
Stonekeep,1995-11-08,"DOS, Microsoft Windows, macOS",role-playing video game
Stonkers,1983-01-01,"Microsoft Windows, ZX Spectrum","real-time strategy, strategy video game"
Stranded,2003-01-01,Microsoft Windows,"action-adventure game, adventure video game, robinsonade"
Stranglehold,2007-09-07,"Microsoft Windows, PlayStation 3, Xbox One",third-person shooter
Strategic Command 2: Blitzkrieg,2006-01-01,Microsoft Windows,turn-based strategy video game
Street Fighter,1987-08-12,"Amstrad CPC, Commodore 64, DOS, TurboGrafx-16, ZX Spectrum, arcade video game",fighting game
Street Fighter 2010: The Final Fight,1990-08-08,"Nintendo 3DS, Nintendo Entertainment System, Wii U","platformer, science fiction video game"
Street Fighter Alpha,1995-06-05,"Game Boy Color, Microsoft Windows, PlayStation 2, PlayStation 4, PlayStation Portable, arcade video game",fighting game
Street Fighter EX,1996-11-30,"PlayStation 2, arcade video game",fighting game
Street Fighter EX3,2000-03-04,PlayStation 4,fighting game
Street Fighter II,2007-01-19,"3DO, Amiga CD32, Commodore 64, DOS, Game Boy, IBM PC compatible, PlayStation, PlayStation 2, PlayStation 4, Super Nintendo Entertainment System, TurboGrafx-16, Wii, ZX Spectrum, arcade video game, iOS, mobile phone",2D fighting game
Street Fighter II Turbo,1992-12-01,"PlayStation, Super Nintendo Entertainment System, Virtual Boy, arcade video game",fighting game
Street Fighter IV,2008-07-18,"Microsoft Windows, PlayStation 3, Xbox One, arcade video game, iOS",2D fighting game
Street Fighter X Mega Man,2012-12-17,Microsoft Windows,"action game, crossover fiction"
Street Fighter X Tekken,2012-03-06,"Microsoft Windows, PlayStation 3, PlayStation Vita, Xbox One, iOS","crossover fiction, fighting game, video game with LGBT character"
Street Fighter: The Movie,1995-08-11,PlayStation 2,fighting game
Street Legal Racing: Redline,2003-07-18,"Microsoft Windows, macOS",racing video game
Street Racer,1994-12-01,"Amiga 1200, DOS, Game Boy, PlayStation, PlayStation 2, Super Nintendo Entertainment System",racing video game
Street Rod,1989-01-01,"Commodore 64, DOS",racing video game
Street Slam,1994-01-08,"Microsoft Windows, Neo Geo, Zeebo",sports video game
Streets of Rage,1991-08-02,"Microsoft Windows, PlayStation, iOS, macOS",side-scrolling beat 'em up
Strider,1989-03-07,"Amstrad CPC, Atari ST, Commodore 64, PlayStation, PlayStation 2, TurboGrafx-16, Wii, ZX Spectrum, arcade video game","action game, cyberpunk video game, platformer, science fiction video game"
Strife,1996-05-31,"DOS, Microsoft Windows, macOS","first-person shooter, post-apocalyptic video game"
Strike Commander,1993-04-01,DOS,combat flight simulator game
Strike Fleet,1987-06-06,"Commodore 64, DOS","computer wargame, strategy video game"
Strike Force,1991-01-01,TMS34010,arcade
Strikers 1945,1995-01-01,"Microsoft Windows, PlayStation 4, Xbox Series X and Series S","science fiction video game, shoot 'em up"
